Timestamp,Email Address,Géopole / Geopole ,Niveau d'études / Level of study,Depuis combien de temps êtes-vous membre étudiant du CSBQ? / How long have you been a student member of the QCBS?,Ça fait combien de temps depuis que vous êtes membre étudiant du CSBQ? / How long has it been since you were a QCBS student member?,Que faites-vous maintenant? / What do you do now?,Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Ateliers R / R workshops],"Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Autres cours et ateliers / Other courses and workshops (Biodiversity Science course, QGIS, GIMP, SQL, etc.)]",Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Colloque annuel / Annual symposium],Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Réseau de chercheurs / Network of researchers],"Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Opportunités de leadership (postes de représentants, création d'ateliers, etc.) / Leadership opportunities (representative role, workshop creation, etc.)]","Si vous avez répondu ""fortement positif"" à une ou plusieurs des questions ci-dessus, SVP partagez un exemple d'impact positif qu'a eu le CSBQ sur votre parcours académique et/ou votre carrière. / If you answered ""strongly positive"" to any of the above, please share at least one example of how the QCBS has positively impacted your academic or professional career.",Comment évalueriez-vous l’influence du CSBQ sur votre développement en tant que chercheur(e)? / How would you rate the influence of the QCBS on your development as a researcher?,Combien de bourses avez-vous reçu du CSBQ? / How many awards have you received from the QCBS?," Si vous avez reçu une (ou plusieurs) bourses du CSBQ, qu’en avez-vous fait(es)? Si vous en avez reçu plusieurs, SVP partagez l'expérience qui vous a le plus bénéficié. / If you have received at least one award from the QCBS, what did you use it (or them) for? If you received many awards, please share your most beneficial experience.",Pensez-vous que les bourses du CSBQ vous ont permis d'accéder à des opportunités qui seraient autrement impossibles? / Do you think the QCBS awards allowed you to access opportunities that would otherwise have been impossible?,"Pour vous, le CSBQ c’est quoi en 2-3 mots? /What is the QCBS to you in 2-3 words?",Qu'est-ce que le CSBQ vous a apporté? / What have you gained from the QCBS?,Voulez-vous signer la lettre de soutien? / Would you like to sign the support letter?,Seriez-vous prêt à faire un témoignage vidéo? / Would you be interested in making a video testimonial?
3/4/2020 14:31:06,NA,Université de Sherbrooke,M. Sc.,< 1 an/year,,,,,,,,,,,,,,,Oui,No
3/4/2020 14:31:31,NA,Université de Sherbrooke,M. Sc.,1 - 2 ans/years,1 - 2 ans/years,Étudiant,Fortement positif / Strongly positive,Neutre / Neutral,Fortement positif / Strongly positive,Positif / Positive,Neutre / Neutral,Améliorer mes compétences en R,4,1,Bourse de déplacement pour un congrès à l'international,3,un regroupement de partage des connaissances scientifiques,"Apprendre et approfondir des sujets de recherche, côtoyer des chercheurs et étudiants dans pleins de sphères différentes. ",Oui,No
3/4/2020 14:32:05,NA,Université de Sherbrooke,M. Sc.,< 1 an/year,,,,,,,,,,,,,,,Oui,No
3/4/2020 14:33:52,NA,,,,< 6 mois/months,Professionnelle de recherche,Fortement positif / Strongly positive,Neutre / Neutral,Fortement positif / Strongly positive,Positif / Positive,Neutre / Neutral,Les ateliers R sont extrêmement pertinents et m'ont permis de réviser des notions fondamentales au bon déroulement de ma maîtrise,5,1,J'ai pu assister à un congrès à Guelph qui a été très pertinent,5,Une ressource indispensable,"Des opportunités de réseautage, du financement pour participer à un congrès ainsi que des formations très pertinentes",Oui,No
3/4/2020 14:34:07,NA,Université de Sherbrooke,Ph.D.,1 - 2 ans/years,6 mois/months - 1 an/year,Doctorat,Fortement positif / Strongly positive,Neutre / Neutral,Neutre / Neutral,Fortement positif / Strongly positive,Positif / Positive,"Les ateliers R me permettent de mener mes analyses pour mon doctorat, et ce serait très long et compliqué sans eux. De plus le CSBQ permet de créer un réseau de chercheurs que l'ont peut contacter pour des projets futures etc, ce qui est une source rare.",5,0,,,Partage de connaissances,"Des connaissances scientifiques, une ouverture de réseau, de la satisfaction culturelle",Oui,No
3/4/2020 14:37:43,NA,Université du Québec à Montréal,Post-Doc,> 2 ans/years,< 6 mois/months,,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Coordonner les ateliers en R du CSBQ m'a permis d'acquérir de solides expériences d'enseignement et d'établir ma crédibilité en tant qu'analyste de données.,5,3 or more,"Participer à plusieurs conférences très pertinentes. Faire un stage en Europe de plusieurs mois, ce qui a permis d'initier de nouvelles collaborations très bénéfiques",5,Ma communauté scientifique,,Oui,No
3/4/2020 14:41:42,NA,Université du Québec à Montréal,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,,5,0,,,,"Opportunity of attending very high quality workshops, courses and symposiums for very low or no fee and also networking and communication.",Oui,No
3/4/2020 14:42:27,NA,Université de Sherbrooke,M. Sc.,> 2 ans/years,,,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,Positif / Positive,Neutre / Neutral,,5,1,La bourse d'excellence que j'ai reçue m'a permise d'aller passer un mois chez ma co-directrice en Idaho; Expérience qui a été très bénéfique pour l'avancement de mon projet grâce à l'expertise différente que les chercheurs là-bas ont pu m'apporter ainsi que pour le réseautage que cette visite a engendré,4,Opportunités pour et par les étudiants,,Oui,No
3/4/2020 14:42:43,NA,,,,,,,,,,,,,,,,,,Oui,
3/4/2020 14:47:13,NA,Université de Sherbrooke,,< 1 an/year,,Technicienne de recherche,Positif / Positive,,,,,,,0,,,,,Oui,
